p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.376196296,0.422,0.237,0,0,HSPA1A
0,0.36739071,0.218,0.079,0,0,HSPA1B
0,0.365068089,0.964,0.877,0,0,EEF1A1
0,0.362476678,0.707,0.515,0,0,BRD2
0,0.361020588,0.489,0.288,0,0,EEF1B2
0,0.358615361,0.857,0.679,0,0,HLA-DRB1
0,0.350413579,0.933,0.824,0,0,CD74
0,0.347273268,0.549,0.345,0,0,EIF3L
0,0.346857542,0.771,0.59,0,0,SLC25A6
0,0.337853135,0.158,0.035,0,0,TNF
0,0.336701624,0.981,0.91,0,0,PABPC1
0,0.330706222,0.64,0.438,0,0,EIF4B
0,0.328745333,0.639,0.424,0,0,CD52
0,0.323115271,0.898,0.771,0,0,DDX5
0,0.305785917,0.155,0.037,0,0,PLK2
0,0.259727201,0.897,0.775,0,0,EIF1
0,0.253380304,0.965,0.908,0,0,TPT1
5.1434E-293,0.313414502,0.618,0.41,1.7769E-288,0,TGFBI
6.1873E-292,0.307027633,0.209,0.077,2.1376E-287,0,ALDH1A1
4.4082E-289,0.339718038,0.628,0.435,1.5229E-284,0,SORL1
1.3881E-285,0.350289204,0.437,0.255,4.7955E-281,0,TAGAP
9.5715E-271,0.314552128,0.736,0.58,3.3067E-266,0,PPP1R15A
5.3914E-265,0.325273159,0.269,0.125,1.8626E-260,0,BRE
3.2525E-264,0.325071437,0.473,0.297,1.1237E-259,0,SNHG5
1.7388E-263,0.31023501,0.267,0.12,6.0071E-259,0,HLA-DQA1
1.7373E-261,0.287811431,0.352,0.189,6.0019E-257,0,HEXIM1
9.8076E-256,0.267659631,0.186,0.069,3.3883E-251,0,ARL5B
2.4056E-252,0.312696405,0.284,0.135,8.3108E-248,0,ETS1
1.8407E-249,0.273580305,0.914,0.913,6.3594E-245,0,LYZ
3.6007E-244,0.327136295,0.365,0.205,1.244E-239,0,TMEM154
5.2297E-244,0.280873329,0.6,0.421,1.8068E-239,0,EIF3C
7.2175E-244,0.334176089,0.489,0.325,2.4935E-239,0,SLC38A2
1.7014E-240,0.289582438,0.234,0.102,5.8779E-236,0,LTB
1.2763E-237,0.367432654,0.552,0.376,4.4093E-233,0,CSF1R
1.748E-232,0.29222523,0.268,0.131,6.0389E-228,0,TBC1D9
2.8937E-232,0.285165457,0.326,0.176,9.9973E-228,0,RYBP
4.0349E-232,0.337314382,0.724,0.567,1.394E-227,0,SOD2
1.4784E-229,0.250576382,0.24,0.107,5.1075E-225,0,TRBC2
4.5544E-229,0.272426329,0.284,0.144,1.5735E-224,0,TOB1
6.9397E-227,0.368540261,0.406,0.246,2.3975E-222,0,SPN
2.6349E-225,0.451688231,0.14,0.045,9.1029E-221,0,CDKN1C
1.5972E-223,0.287592642,0.53,0.362,5.5182E-219,0,SEPT9
7.0507E-222,0.263591087,0.262,0.128,2.4359E-217,0,RUNX3
2.4845E-219,0.251079601,0.26,0.127,8.5835E-215,0,MYLIP
5.0989E-219,0.268183811,0.623,0.446,1.7616E-214,0,LSP1
5.421E-218,0.268876918,0.628,0.463,1.8729E-213,0,GLTSCR2
2.8382E-216,0.272520152,0.577,0.409,9.8053E-212,0,RASSF5
1.1295E-213,0.287234351,0.383,0.23,3.9022E-209,0,PPM1F
6.0623E-211,0.253509104,0.629,0.453,2.0944E-206,0,IER2
3.0889E-210,0.320527598,0.205,0.088,1.0672E-205,0,IL7R
5.6499E-207,0.270696577,0.425,0.27,1.9519E-202,0,SLC25A5
1.1066E-205,0.254069719,0.283,0.151,3.8231E-201,0,PDCD4
2.0875E-201,0.273718361,0.201,0.088,7.2118E-197,0,CCL5
2.5602E-198,0.276819556,0.302,0.168,8.8451E-194,0,CD300LF
7.5035E-193,0.410242886,0.295,0.165,2.5923E-188,0,FCGR3B
9.7197E-192,0.336886393,0.285,0.152,3.358E-187,0,G0S2
2.2101E-188,0.259783637,0.48,0.33,7.6354E-184,0,EIF2S3
3.2328E-186,0.28269621,0.668,0.522,1.1169E-181,0,TNFAIP2
1.021E-179,0.256692063,0.516,0.366,3.5275E-175,0,RAB11FIP1
3.4962E-175,0.253620734,0.353,0.217,1.2079E-170,0,PABPC4
6.1E-161,0.260540971,0.311,0.187,2.1074E-156,0,SLC44A2
1.8094E-147,0.286738714,0.267,0.156,6.251E-143,0,RP11-290F20.3
2.3808E-145,0.437224904,0.376,0.25,8.2253E-141,0,FCGR3A
2.5085E-120,0.327642136,0.459,0.34,8.6664E-116,0,IL8
5.5683E-119,0.272030735,0.26,0.162,1.9237E-114,0,EIF4A3
5.51634E-82,0.358283838,0.143,0.081,1.90579E-77,0,CXCR2
0,0.979326241,0.795,0.532,0,1-3,AC009501.4
0,0.738199138,0.876,0.73,0,1-3,HLA-DRA
0,0.644226281,0.981,0.93,0,1-3,PABPC1
0,0.512776262,0.962,0.924,0,1-3,TPT1
0,0.448365962,0.945,0.903,0,1-3,EEF1A1
6.8999E-295,0.653852588,0.844,0.73,2.3838E-290,1-3,HLA-DRB1
4.6933E-288,0.365810288,0.983,0.959,1.6215E-283,1-3,HLA-E
5.5013E-274,0.317728448,0.992,0.974,1.9006E-269,1-3,CTSS
3.7874E-265,0.514983409,0.95,0.92,1.3085E-260,1-3,VIM
2.5076E-260,0.285221393,0.999,0.988,8.6634E-256,1-3,PSAP
3.5678E-257,0.264167611,1,0.994,1.2326E-252,1-3,HLA-B
1.1302E-234,0.473608092,0.907,0.857,3.9047E-230,1-3,CD74
5.8058E-230,0.577174098,0.182,0.048,2.0058E-225,1-3,XIST
1.783E-219,0.442217354,0.869,0.829,6.1599E-215,1-3,GNB2L1
1.3618E-206,0.45601589,0.86,0.828,4.7047E-202,1-3,TKT
2.0969E-198,0.506485823,0.784,0.722,7.2444E-194,1-3,NACA
4.3229E-195,0.591623421,0.786,0.704,1.4935E-190,1-3,RGS2
1.5854E-174,0.380420387,0.863,0.82,5.4771E-170,1-3,EEF2
2.5893E-172,0.491750585,0.845,0.834,8.9456E-168,1-3,TXNIP
1.9509E-166,0.60280036,0.609,0.498,6.7398E-162,1-3,EIF4B
1.2539E-162,0.65769955,0.614,0.471,4.3319E-158,1-3,HLA-DPB1
1.1274E-159,0.459000605,0.77,0.72,3.8949E-155,1-3,GNAS
9.975E-157,0.391548901,0.85,0.813,3.4462E-152,1-3,EIF1
2.258E-146,0.570425133,0.664,0.529,7.8009E-142,1-3,HLA-DPA1
1.9505E-144,0.454092098,0.846,0.814,6.7387E-140,1-3,SAT1
4.135E-119,0.55866403,0.621,0.559,1.4286E-114,1-3,ATF4
1.1601E-112,0.518980408,0.63,0.575,4.008E-108,1-3,CAST
1.4371E-110,0.39968198,0.726,0.686,4.9648E-106,1-3,PTMA
1.8621E-109,0.400675079,0.752,0.734,6.4333E-105,1-3,LRRFIP1
2.0101E-107,0.402442085,0.698,0.648,6.9446E-103,1-3,SLC25A6
1.096E-103,0.385497949,0.717,0.686,3.7864E-99,1-3,CSDE1
1.47209E-98,0.567010356,0.534,0.46,5.08576E-94,1-3,AP1S2
4.87078E-96,0.640432136,0.445,0.342,1.68276E-91,1-3,ATP2B1
2.08526E-92,0.357079675,0.878,0.902,7.20414E-88,1-3,FOS
2.49487E-90,0.609253446,0.538,0.468,8.61928E-86,1-3,JMJD1C
1.05077E-89,0.393122286,0.691,0.661,3.6302E-85,1-3,CCNI
1.25333E-79,0.451717613,0.643,0.62,4.32999E-75,1-3,LST1
2.78451E-78,0.472423686,0.536,0.477,9.61993E-74,1-3,EIF3C
1.23046E-75,0.512701165,0.516,0.44,4.25099E-71,1-3,NAP1L1
6.44026E-74,0.386944335,0.131,0.056,2.22498E-69,1-3,HLA-DQA2
2.52678E-71,0.541381643,0.422,0.341,8.72953E-67,1-3,EIF3F
3.157E-71,0.283640409,0.795,0.801,1.09068E-66,1-3,IQGAP1
6.88063E-71,0.561323866,0.396,0.307,2.37712E-66,1-3,HLA-DMB
1.49552E-70,0.705340788,0.419,0.329,5.16671E-66,1-3,NR4A2
