p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
2.6433E-83,0.316713682,0.259,0.12,9.13207E-79,4-5,DDX58
2.38069E-74,0.336099078,0.314,0.167,8.22481E-70,4-5,HLA-DPA1
2.59552E-72,0.252902493,0.21,0.093,8.96701E-68,4-5,ZBP1
2.37978E-71,0.275285329,0.176,0.072,8.22167E-67,4-5,IFIT2
8.49035E-71,0.30192393,0.388,0.226,2.93325E-66,4-5,HLA-DPB1
7.02029E-69,0.267735381,0.237,0.113,2.42537E-64,4-5,ZCCHC2
1.17366E-67,0.365845671,0.442,0.28,4.05474E-63,4-5,IVNS1ABP
4.65567E-66,0.284306399,0.289,0.153,1.60844E-61,4-5,ZNFX1
1.52043E-65,0.30345284,0.527,0.352,5.25279E-61,4-5,CALR
9.53099E-65,0.313850078,0.477,0.311,3.29277E-60,4-5,TRANK1
1.05924E-63,0.267472982,0.302,0.164,3.65945E-59,4-5,UBE2L6
3.79077E-63,0.294541137,0.555,0.386,1.30963E-58,4-5,OGT
8.90485E-58,0.280757846,0.251,0.133,3.07645E-53,4-5,CD3E
2.10002E-57,0.262977309,0.138,0.056,7.25514E-53,4-5,IFIT5
5.8053E-57,0.262403924,0.151,0.064,2.00562E-52,4-5,HIST2H2AA4
1.25404E-56,0.303758516,0.243,0.129,4.33247E-52,4-5,HLA-DRB1
6.97313E-55,0.300509317,0.347,0.209,2.40908E-50,4-5,HIST1H1D
2.16478E-54,0.252377791,0.267,0.146,7.47888E-50,4-5,PPM1K
5.11573E-53,0.251836839,0.519,0.359,1.76738E-48,4-5,PSMB9
5.49294E-49,0.261294017,0.163,0.078,1.8977E-44,4-5,TNFSF10
1.96918E-48,0.322492219,0.168,0.082,6.80311E-44,4-5,CD3D
8.65321E-48,0.383562714,0.108,0.043,2.98951E-43,4-5,S100B
6.14148E-30,0.258624531,0.12,0.062,2.12176E-25,4-5,TTN
1.4116E-225,1.254136353,0.241,0.052,4.8767E-221,6-7,HBB
3.7377E-185,0.720871782,0.135,0.017,1.2913E-180,6-7,HBA2
9.3018E-172,0.766486757,0.377,0.151,3.2136E-167,6-7,IFI44L
1.6069E-163,0.631367619,0.674,0.404,5.5516E-159,6-7,XAF1
2.4525E-153,0.725660578,0.306,0.114,8.4729E-149,6-7,IFI44
6.043E-143,0.71965817,0.382,0.171,2.0877E-138,6-7,MX1
5.0602E-112,0.593016686,0.395,0.2,1.7482E-107,6-7,FKBP5
9.1803E-111,0.349272317,0.967,0.909,3.1716E-106,6-7,PRF1
1.1505E-103,0.74722416,0.682,0.507,3.9747E-99,6-7,AC009501.4
1.39841E-96,0.360023841,0.904,0.784,4.83122E-92,6-7,GZMB
1.026E-95,0.573924917,0.382,0.204,3.54463E-91,6-7,EIF2AK2
1.823E-91,0.52898823,0.37,0.197,6.29812E-87,6-7,PARP9
1.11422E-87,0.381185036,0.971,0.952,3.84939E-83,6-7,TXNIP
1.15281E-86,0.849336224,0.139,0.041,3.98273E-82,6-7,MKI67
1.86326E-75,0.368198555,0.246,0.111,6.43719E-71,6-7,ZNRD1-AS1
8.68592E-74,0.375784561,0.109,0.03,3.00081E-69,6-7,AREG
4.01623E-71,0.589475627,0.319,0.177,1.38753E-66,6-7,KIR2DL2
1.83373E-69,0.432073894,0.451,0.287,6.33517E-65,6-7,STAT1
2.23889E-69,0.611085503,0.254,0.126,7.7349E-65,6-7,IFIT3
1.16471E-62,0.493009527,0.514,0.365,4.02384E-58,6-7,DIP2A
7.76009E-57,0.475798431,0.174,0.077,2.68095E-52,6-7,STMN1
2.27266E-55,0.435531745,0.31,0.181,7.85157E-51,6-7,H1FX
3.08219E-55,0.330542726,0.697,0.541,1.06484E-50,6-7,ADAR
4.00059E-55,0.358693499,0.623,0.459,1.38212E-50,6-7,SP100
4.2681E-55,0.350683812,0.598,0.447,1.47454E-50,6-7,IFI16
6.42229E-55,0.351043893,0.386,0.238,2.21877E-50,6-7,OAS2
8.34995E-54,0.307655029,0.101,0.033,2.88474E-49,6-7,AREGB
4.22424E-53,0.411312045,0.267,0.148,1.45939E-48,6-7,THEMIS2
5.19441E-50,0.670827068,0.193,0.095,1.79456E-45,6-7,S100A8
3.84803E-48,0.401745555,0.212,0.112,1.32942E-43,6-7,HELZ2
4.82356E-48,0.375748081,0.277,0.161,1.66644E-43,6-7,LY6E
1.46414E-47,0.374411763,0.236,0.129,5.05831E-43,6-7,GBP1
4.08915E-46,0.358448129,0.467,0.326,1.41272E-41,6-7,SAMD9L
5.07364E-46,0.900359946,0.222,0.119,1.75284E-41,6-7,S100A9
1.34338E-45,0.290534657,0.284,0.163,4.64109E-41,6-7,DDX3Y
6.49975E-45,0.36900842,0.501,0.365,2.24553E-40,6-7,SAMD9
1.1662E-43,0.339209532,0.443,0.309,4.029E-39,6-7,TRIM22
1.27704E-43,0.390068144,0.113,0.046,4.41193E-39,6-7,KIR3DL1
1.8262E-43,0.256525972,0.13,0.056,6.30917E-39,6-7,MT2A
2.4086E-41,0.344512485,0.415,0.288,8.32125E-37,6-7,ZFP36
3.28573E-39,0.410539483,0.217,0.125,1.13515E-34,6-7,MX2
7.96461E-38,0.322841728,0.426,0.301,2.75161E-33,6-7,PARP14
6.02965E-36,0.269727735,0.393,0.268,2.08312E-31,6-7,DTX3L
4.13216E-35,0.323329139,0.327,0.217,1.42758E-30,6-7,PCNT
3.17147E-34,0.297398231,0.258,0.159,1.09568E-29,6-7,PTPN7
2.23148E-33,0.308113937,0.243,0.15,7.70933E-29,6-7,DDX60
7.4049E-33,0.317416096,0.168,0.092,2.55825E-28,6-7,PCNA
9.70202E-33,0.323804704,0.114,0.053,3.35185E-28,6-7,MCM4
7.58872E-32,0.262153443,0.515,0.394,2.62175E-27,6-7,LPCAT1
2.24673E-31,0.30242846,0.3,0.199,7.76201E-27,6-7,SP110
2.7444E-31,0.414829054,0.188,0.111,9.48136E-27,6-7,RSAD2
7.14101E-31,0.252959653,0.226,0.137,2.46707E-26,6-7,OAS3
2.42549E-30,0.256595198,0.185,0.106,8.37958E-26,6-7,NFIL3
3.75585E-29,0.273215923,0.285,0.19,1.29757E-24,6-7,PRDM1
1.38882E-28,0.26255232,0.145,0.078,4.7981E-24,6-7,IFI35
7.49396E-28,0.337743546,0.176,0.105,2.58901E-23,6-7,IRF7
1.03417E-27,0.315076759,0.275,0.186,3.57285E-23,6-7,ALOX5AP
7.21635E-27,0.250173471,0.723,0.63,2.4931E-22,6-7,SLFN5
7.22862E-27,0.258462855,0.124,0.064,2.49734E-22,6-7,MCM6
1.00313E-26,0.272849094,0.211,0.131,3.4656E-22,6-7,HAVCR2
6.83012E-26,0.257948363,0.291,0.199,2.35967E-21,6-7,LGALS1
1.68137E-25,0.286765351,0.256,0.17,5.80879E-21,6-7,ISG15
4.09344E-25,0.28282591,0.13,0.071,1.4142E-20,6-7,PLXND1
5.9632E-25,0.295265741,0.233,0.153,2.06017E-20,6-7,DDX60L
7.5831E-25,0.26797187,0.225,0.147,2.61981E-20,6-7,EPSTI1
2.35966E-24,0.291719228,0.209,0.133,8.15214E-20,6-7,SMC4
3.96563E-24,0.35951689,0.276,0.194,1.37005E-19,6-7,HMGB2
1.00863E-23,0.25365459,0.233,0.153,3.48463E-19,6-7,TPP1
2.16342E-23,0.254183887,0.742,0.68,7.47418E-19,6-7,HSP90AA1
3.37439E-23,0.294485748,0.159,0.096,1.16578E-18,6-7,OAS1
3.90399E-23,0.267018701,0.159,0.096,1.34875E-18,6-7,PLSCR1
2.6384E-22,0.254668344,0.199,0.129,9.11513E-18,6-7,HSPH1
3.24056E-22,0.269967688,0.414,0.324,1.11955E-17,6-7,VIM
8.47078E-21,0.268633998,0.367,0.28,2.92649E-16,6-7,SYTL3
1.27095E-20,0.276958662,0.333,0.251,4.39087E-16,6-7,GSAP
1.84156E-20,0.2831347,0.108,0.059,6.36222E-16,6-7,KIR2DL3
1.23844E-19,0.305955826,0.143,0.089,4.27857E-15,6-7,HERC6
1.61162E-19,0.25808953,0.167,0.105,5.56784E-15,6-7,IGLC3
3.46441E-19,0.250776023,0.263,0.189,1.19688E-14,6-7,TMPO
1.3724E-17,0.254192834,0.342,0.265,4.74137E-13,6-7,ISG20
2.03968E-17,0.255470856,0.351,0.275,7.04668E-13,6-7,HSH2D
2.59295E-17,0.261840809,0.137,0.085,8.95813E-13,6-7,IRS2
4.48246E-17,0.423245816,0.137,0.087,1.5486E-12,6-7,IFIT2
2.13548E-12,0.370233846,0.249,0.19,7.37767E-08,6-7,SAT1
2.55571E-12,0.304638857,0.249,0.195,8.82947E-08,6-7,TUBB
6.27893E-12,0.311263965,0.102,0.066,2.16925E-07,6-7,IFIT1
4.10397E-08,0.317320916,0.24,0.195,0.00141784,6-7,HIST1H4C
2.0631E-216,0.394266319,0.929,0.844,7.1276E-212,0,AHNAK
2.2971E-103,0.314961442,0.765,0.695,7.9361E-99,0,EEF2
1.85858E-72,0.256899172,0.739,0.686,6.42102E-68,0,GNB2L1
1.47149E-43,0.301875926,0.449,0.372,5.08369E-39,0,PNRC1
7.61556E-38,0.283189405,0.388,0.309,2.63102E-33,0,MATK
1.73153E-28,0.282149706,0.167,0.109,5.9821E-24,0,TC2N
5.08284E-25,0.274208855,0.283,0.223,1.75602E-20,0,CD52
9.62632E-25,0.281920193,0.27,0.212,3.3257E-20,0,SNHG5
2.02635E-20,0.255896844,0.322,0.275,7.00064E-16,0,EEF1B2
4.06768E-18,0.251283317,0.285,0.233,1.4053E-13,0,DUSP2
6.76547E-17,0.259566628,0.159,0.118,2.33734E-12,0,TMEM181
1.9608E-181,0.949487306,0.789,0.516,6.7742E-177,1-3,AC009501.4
4.21733E-68,0.319296261,0.97,0.951,1.457E-63,1-3,PTPRC
1.71616E-42,0.345196452,0.857,0.805,5.92899E-38,1-3,PABPC1
3.79275E-40,0.328170363,0.876,0.849,1.31032E-35,1-3,TPT1
